"instrument_instance","dataset_count"
"https://data.globalchange.gov/platform/sac-d-aquarius/instrument/aquarius-l-band-scatterometer",136
"https://data.globalchange.gov/platform/terra/instrument/moderate-resolution-imaging-spectroradiometer",127
"https://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-14/instrument/advanced-very-high-resolution-radiometer-2",98
"https://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-18/instrument/advanced-very-high-resolution-radiometer-3",93
"https://data.globalchange.gov/platform/aqua/instrument/moderate-resolution-imaging-spectroradiometer",92
"https://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-17/instrument/advanced-very-high-resolution-radiometer-3",92
"https://data.globalchange.gov/platform/sac-d-aquarius/instrument/aquarius-l-band-radiometer",90
"https://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-11/instrument/advanced-very-high-resolution-radiometer-2",90
"https://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-16/instrument/advanced-very-high-resolution-radiometer-3",86
"https://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-9/instrument/advanced-very-high-resolution-radiometer-2",84
"https://data.globalchange.gov/platform/gravity-recovery-and-climate-experiment/instrument/grace-instrument",78
"https://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-scanning-radiometer-eos",68
"https://data.globalchange.gov/platform/landsat-5/instrument/thematic-mapper",50
"https://data.globalchange.gov/platform/ice-cloud-and-land-elevation-satellite/instrument/geoscience-laser-altimeter-system",39
"https://data.globalchange.gov/platform/defense-meteorological-satellite-program-f-13/instrument/special-sensor-microwave-imager",36
"https://data.globalchange.gov/platform/quick-scatterometer/instrument/seawinds",29
"https://data.globalchange.gov/platform/defense-meteorological-satellite-program-f-11/instrument/special-sensor-microwave-imager",27
"https://data.globalchange.gov/platform/defense-meteorological-satellite-program-f-17/instrument/special-sensor-microwave-imager-sounder",27
"https://data.globalchange.gov/platform/landsat-7/instrument/enhanced-thematic-mapper-plus",26
"https://data.globalchange.gov/platform/defense-meteorological-satellite-program-f-8/instrument/special-sensor-microwave-imager",24
"https://data.globalchange.gov/platform/tropical-rainfall-measuring-mission/instrument/trmm-microwave-imager",23
"https://data.globalchange.gov/platform/advanced-earth-observing-satellite-ii/instrument/seawinds",22
"https://data.globalchange.gov/platform/meteorological-operational-polar-satellite-a/instrument/advanced-very-high-resolution-radiometer-3",22
"https://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-19/instrument/advanced-very-high-resolution-radiometer-3",19
"https://data.globalchange.gov/platform/jason-1/instrument/poseidon-2",16
"https://data.globalchange.gov/platform/jason-1/instrument/jason-microwave-radiometer",16
"https://data.globalchange.gov/platform/jason-2/instrument/poseidon-3",15
"https://data.globalchange.gov/platform/jason-2/instrument/advanced-microwave-radiometer",14
"https://data.globalchange.gov/platform/defense-meteorological-satellite-program-f-15/instrument/special-sensor-microwave-imager",13
"https://data.globalchange.gov/platform/topex-poseidon/instrument/poseidon-1",13
"https://data.globalchange.gov/platform/topex-poseidon/instrument/topex-microwave-radiometer",13
"https://data.globalchange.gov/platform/topex-poseidon/instrument/topex-nasa-radar-altimeter",13
"https://data.globalchange.gov/platform/defense-meteorological-satellite-program-f-14/instrument/special-sensor-microwave-imager",12
"https://data.globalchange.gov/platform/environmental-satellite/instrument/advanced-along-track-scanning-radiometer",12
"https://data.globalchange.gov/platform/geostationary-operational-environmental-satellite-8/instrument/imager",10
"https://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-10/instrument/advanced-very-high-resolution-radiometer-2",10
"https://data.globalchange.gov/platform/geostationary-operational-environmental-satellite-13/instrument/imager",10
"https://data.globalchange.gov/platform/suomi-national-polar-orbiting-partnership/instrument/visible-infrared-imager-radiometer-suite",9
"https://data.globalchange.gov/platform/advanced-earth-observing-satellite/instrument/nasa-scatterometer",9
"https://data.globalchange.gov/platform/defense-meteorological-satellite-program-f-10/instrument/special-sensor-microwave-imager",8
"https://data.globalchange.gov/platform/geostationary-operational-environmental-satellite-7/instrument/vissr-atmospheric-sounder",7
"https://data.globalchange.gov/platform/terra/instrument/advanced-spaceborne-thermal-emission-and-reflection-radiometer",7
"https://data.globalchange.gov/platform/european-remote-sensing-satellite-1/instrument/radar-altimeter-3",6
"https://data.globalchange.gov/platform/japanese-earth-resource-satellite/instrument/l-band-synthetic-apature-radar",6
"https://data.globalchange.gov/platform/geostationary-operational-environmental-satellite-12/instrument/imager",6
"https://data.globalchange.gov/platform/landsat-5/instrument/multispectral-scanner",6
"https://data.globalchange.gov/platform/geostationary-operational-environmental-satellite-11/instrument/imager",6
"https://data.globalchange.gov/platform/environmental-satellite/instrument/advanced-synthetic-aperture-radar",6
"https://data.globalchange.gov/platform/jason-1/instrument/doris-ng",5
"https://data.globalchange.gov/platform/advanced-land-observing-satellite/instrument/phased-array-type-l-band-synthetic-aperture-radar",5
"https://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-12/instrument/advanced-very-high-resolution-radiometer-2",4
"https://data.globalchange.gov/platform/global-change-observation-mission-w1/instrument/advanced-microwave-scanning-radiometer-2",4
"https://data.globalchange.gov/platform/geostationary-operational-environmental-satellite-15/instrument/imager",4
"https://data.globalchange.gov/platform/advanced-earth-observing-satellite-ii/instrument/advanced-microwave-scanning-radiometer",4
"https://data.globalchange.gov/platform/satellite-pour-lobservation-de-la-terre-4/instrument/high-resolution-visible-and-infra-red",3
"https://data.globalchange.gov/platform/meteorological-operational-polar-satellite-a/instrument/advanced-scatterometer",3
"https://data.globalchange.gov/platform/european-remote-sensing-satellite-2/instrument/radar-altimeter-3",3
"https://data.globalchange.gov/platform/jason-1/instrument/blackjack",3
"https://data.globalchange.gov/platform/landsat-4/instrument/multispectral-scanner",3
"https://data.globalchange.gov/platform/european-remote-sensing-satellite-2/instrument/along-track-scanning-radiometer-2",3
"https://data.globalchange.gov/platform/nimbus-7/instrument/total-ozone-mapping-spectrometer",3
"https://data.globalchange.gov/platform/environmental-satellite/instrument/radar-altimeter-2-2",3
"https://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-9/instrument/high-resolution-infra-red-sounder-2",2
"https://data.globalchange.gov/platform/satellite-pour-lobservation-de-la-terre-1/instrument/high-resolution-visible",2
"https://data.globalchange.gov/platform/total-ozone-mapping-spectometer-earth-probe/instrument/total-ozone-mapping-spectrometer",2
"https://data.globalchange.gov/platform/meteorological-operational-polar-satellite-b/instrument/advanced-scatterometer",2
"https://data.globalchange.gov/platform/terra/instrument/multi-angle-imaging-spectroradiometer",2
"https://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-10/instrument/tiros-operational-vertical-sounder",2
"https://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-9/instrument/tiros-operational-vertical-sounder",2
"https://data.globalchange.gov/platform/european-remote-sensing-satellite-1/instrument/active-microwave-instrumentation-image-mode",2
"https://data.globalchange.gov/platform/european-remote-sensing-satellite-2/instrument/active-microwave-instrumentation-image-mode",2
"https://data.globalchange.gov/platform/aqua/instrument/advanced-microwave-sounding-unit-a-2",2
"https://data.globalchange.gov/platform/new-millenium-program-earth-observing-1/instrument/hyperspectral-imager-2",2
"https://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-10/instrument/high-resolution-infra-red-sounder-2",2
"https://data.globalchange.gov/platform/jason-1/instrument/laser-retroreflector-array",2
"https://data.globalchange.gov/platform/meteosat-6/instrument/meteosat-visible-and-infra-red-imager",1
"https://data.globalchange.gov/platform/geostationary-operational-environmental-satellite-8/instrument/sounder",1
"https://data.globalchange.gov/platform/landsat-4/instrument/thematic-mapper",1
"https://data.globalchange.gov/platform/ocean-satellite-2/instrument/scatterometer-oceansat-2",1
"https://data.globalchange.gov/platform/satellite-pour-lobservation-de-la-terre-4/instrument/vegetation",1
"https://data.globalchange.gov/platform/national-oceanic-and-atmospheric-administration-11/instrument/high-resolution-infra-red-sounder-2",1
"https://data.globalchange.gov/platform/tropical-rainfall-measuring-mission/instrument/visible-infra-red-scanner",1
"https://data.globalchange.gov/platform/tropical-rainfall-measuring-mission/instrument/precipitation-radar",1
"https://data.globalchange.gov/platform/meteosat-7/instrument/meteosat-visible-and-infra-red-imager",1
"https://data.globalchange.gov/platform/meteosat-4/instrument/meteosat-visible-and-infra-red-imager",1
"https://data.globalchange.gov/platform/new-millenium-program-earth-observing-1/instrument/advanced-land-imager",1
"https://data.globalchange.gov/platform/terra/instrument/measurements-of-pollution-in-the-troposphere",1
"https://data.globalchange.gov/platform/satellite-with-argos-and-altika/instrument/ka-band-altimeter",1
"https://data.globalchange.gov/platform/cryosat-2-earth-explorer-opportunity-mission/instrument/doris-ng",1
"https://data.globalchange.gov/platform/meteosat-5/instrument/meteosat-visible-and-infra-red-imager",1
"https://data.globalchange.gov/platform/new-millenium-program-earth-observing-1/instrument/leisa-atmospheric-corrector",1
"https://data.globalchange.gov/platform/cryosat-2-earth-explorer-opportunity-mission/instrument/sar-interferometer-radar-altimeter",1
"https://data.globalchange.gov/platform/topex-poseidon/instrument/laser-retroreflector-array",1
